ID,TYPE,X,Y,Z,ORDERPARAMETER,NORMALIZED X, NORMALIZED Y, NORMALIZED Z, NORMALIZED OP, CN
234,2,1.909370,-90.581497,1.881080,5.430808,-0.958223,-0.999981,-0.999999,0.157780,2
236,2,0.087414,-90.579102,3.906080,8.066972,-0.998469,-0.999955,-0.866666,0.234368,3
238,2,1.132320,-88.177597,3.906080,19.485334,-0.975388,-0.973358,-0.866666,0.566104,7
259,2,2.925430,-87.389297,1.881080,14.199033,-0.935779,-0.964627,-0.999999,0.412522,5
261,2,3.706880,-89.106598,3.906080,16.489410,-0.918517,-0.983647,-0.866666,0.479064,6
81,2,4.616180,-90.578499,1.881080,10.713242,-0.898431,-0.999948,-0.999999,0.311250,4
84,2,6.438210,-90.580902,3.906080,8.154933,-0.858183,-0.999975,-0.866666,0.236924,3
99,2,8.235830,-89.105904,1.881080,11.058177,-0.818474,-0.983639,-0.999999,0.321271,4
258,2,5.661230,-88.177101,1.881080,16.682505,-0.875346,-0.973352,-0.999999,0.484674,6
293,2,7.454360,-87.388603,3.906080,22.683952,-0.835737,-0.964620,-0.866666,0.659033,8
101,2,9.145050,-90.577797,3.906080,16.100765,-0.798390,-0.999940,-0.866666,0.467773,6
98,2,10.967100,-90.580299,1.881080,5.430861,-0.758142,-0.999968,-0.999999,0.157782,2
104,2,10.190200,-88.176399,3.906080,22.332773,-0.775303,-0.973345,-0.866666,0.648830,8
131,2,11.983300,-87.387901,1.881080,14.199026,-0.735694,-0.964612,-0.999999,0.412522,5
133,2,12.764800,-89.105301,3.906080,16.489594,-0.718431,-0.983632,-0.866666,0.479070,6
9,2,13.673900,-90.577202,1.881080,10.713262,-0.698349,-0.999934,-0.999999,0.311251,4
12,2,15.495900,-90.579903,3.906080,8.154955,-0.658102,-0.999964,-0.866666,0.236925,3
27,2,17.293501,-89.104698,1.881080,11.058628,-0.618394,-0.983626,-0.999999,0.321285,4
130,2,14.719000,-88.175697,1.881080,16.682730,-0.675264,-0.973337,-0.999999,0.484681,6
165,2,16.512100,-87.387100,3.906080,22.683918,-0.635655,-0.964603,-0.866666,0.659032,8
29,2,18.202801,-90.576599,3.906080,16.100773,-0.598308,-0.999927,-0.866666,0.467773,6
26,2,20.024700,-90.579597,1.881080,5.430660,-0.558063,-0.999960,-0.999999,0.157776,2
32,2,19.247700,-88.175003,3.906080,22.332695,-0.575226,-0.973329,-0.866666,0.648828,8
58,2,21.040701,-87.386398,1.881080,14.198725,-0.535620,-0.964595,-0.999999,0.412513,5
60,2,21.822100,-89.104202,3.906080,16.490482,-0.518359,-0.983620,-0.866666,0.479095,6
441,2,0.228692,-86.415001,1.881080,11.418259,-0.995349,-0.953837,-0.999999,0.331733,4
450,2,3.830620,-84.631699,1.881080,20.057800,-0.915784,-0.934087,-0.999999,0.582736,7
451,2,1.113340,-83.703102,1.881080,17.163658,-0.975807,-0.923803,-0.999999,0.498653,6
453,2,2.036530,-85.496597,3.906080,25.670048,-0.955414,-0.943666,-0.866666,0.745788,9
456,2,2.925180,-82.798798,3.906080,34.356983,-0.935784,-0.913787,-0.866666,0.998168,12
264,2,4.757630,-86.414398,3.906080,34.383114,-0.895306,-0.953830,-0.866666,0.998927,12
291,2,6.565500,-85.496002,1.881080,19.974161,-0.855371,-0.943659,-0.999999,0.580306,7
296,2,8.359620,-84.630997,3.906080,31.500031,-0.815740,-0.934079,-0.866666,0.915165,11
482,2,7.454210,-82.798103,1.881080,22.893316,-0.835740,-0.913780,-0.999999,0.665116,8
485,2,5.642340,-83.702599,3.906080,34.353123,-0.875763,-0.923797,-0.866666,0.998056,12
290,2,9.286600,-86.413696,1.881080,22.932405,-0.795263,-0.953823,-0.999999,0.666251,8
322,2,12.888600,-84.630203,1.881080,20.057798,-0.715696,-0.934070,-0.999999,0.582736,7
323,2,10.171300,-83.701797,1.881080,22.898932,-0.775720,-0.923788,-0.999999,0.665279,8
325,2,11.094500,-85.495201,3.906080,28.538525,-0.755327,-0.943650,-0.866666,0.829125,10
