ID,TYPE,X,Y,Z,ORDERPARAMETER,NORMALIZED X, NORMALIZED Y, NORMALIZED Z, NORMALIZED OP, CN
387,2,17.259300,-79.506699,1.927840,22.910624,-0.616044,-0.888832,-0.999999,0.666557,8
546,2,14.542400,-78.600998,1.927840,22.910305,-0.676582,-0.878737,-0.999999,0.666548,8
581,2,16.353500,-77.695396,3.952850,34.365253,-0.636227,-0.868644,-0.866666,0.999816,12
389,2,18.165001,-81.317902,3.952850,34.365704,-0.595864,-0.909020,-0.866666,0.999829,12
386,2,19.976299,-80.412102,1.927840,22.909517,-0.555505,-0.898924,-0.999999,0.666525,8
392,2,19.070400,-78.600998,3.952850,34.365543,-0.575690,-0.878737,-0.866666,0.999824,12
418,2,20.881599,-77.695396,1.927840,22.910236,-0.535333,-0.868644,-0.999999,0.666546,8
420,2,21.787300,-79.506699,3.952850,34.365681,-0.515152,-0.888832,-0.866666,0.999828,12
866,2,3.674690,-74.978600,1.927840,22.910318,-0.918735,-0.838362,-0.999999,0.666548,8
867,2,0.957753,-74.072998,1.927840,17.182770,-0.979273,-0.828268,-0.999999,0.499912,6
869,2,1.863580,-75.884201,3.952850,31.501465,-0.959090,-0.848456,-0.866666,0.916497,11
872,2,2.768850,-73.167397,3.952850,34.365654,-0.938919,-0.818174,-0.866666,0.999827,12
857,2,0.052465,-76.789803,1.927840,11.455108,-0.999445,-0.858550,-0.999999,0.333273,4
680,2,4.580510,-76.789803,3.952850,34.365410,-0.898552,-0.858550,-0.866666,0.999820,12
707,2,6.391620,-75.884201,1.927840,22.910238,-0.858197,-0.848456,-0.999999,0.666546,8
712,2,8.202740,-74.978600,3.952850,34.365410,-0.817842,-0.838362,-0.866666,0.999820,12
898,2,7.296900,-73.167397,1.927840,22.910402,-0.838025,-0.818174,-0.999999,0.666550,8
901,2,5.485800,-74.072998,3.952850,34.365570,-0.878380,-0.828268,-0.866666,0.999825,12
706,2,9.108550,-76.789803,1.927840,22.910334,-0.797658,-0.858550,-0.999999,0.666548,8
738,2,12.730800,-74.978600,1.927840,22.910334,-0.716948,-0.838362,-0.999999,0.666548,8
739,2,10.013800,-74.072998,1.927840,22.910391,-0.777488,-0.828268,-0.999999,0.666550,8
741,2,10.919700,-75.884201,3.952850,34.365414,-0.757303,-0.848456,-0.866666,0.999820,12
744,2,11.824900,-73.167397,3.952850,34.365669,-0.737133,-0.818174,-0.866666,0.999828,12
552,2,13.636600,-76.789803,3.952850,34.365318,-0.696765,-0.858550,-0.866666,0.999817,12
579,2,15.447700,-75.884201,1.927840,22.910149,-0.656410,-0.848456,-0.999999,0.666543,8
584,2,17.258801,-74.978600,3.952850,34.365421,-0.616055,-0.838362,-0.866666,0.999820,12
770,2,16.353001,-73.167397,1.927840,22.910458,-0.636238,-0.818174,-0.999999,0.666552,8
773,2,14.541900,-74.072998,3.952850,34.365578,-0.676593,-0.828268,-0.866666,0.999825,12
578,2,18.164600,-76.789803,1.927840,22.910395,-0.595873,-0.858550,-0.999999,0.666550,8
610,2,21.786900,-74.978600,1.927840,22.910332,-0.515161,-0.838362,-0.999999,0.666548,8
611,2,19.069901,-74.072998,1.927840,22.910429,-0.575701,-0.828268,-0.999999,0.666551,8
613,2,19.975800,-75.884201,3.952850,34.365513,-0.555516,-0.848456,-0.866666,0.999823,12
616,2,20.881001,-73.167397,3.952850,34.365658,-0.535346,-0.818174,-0.866666,0.999827,12
1066,2,1.862990,-71.356102,1.927840,20.046486,-0.959103,-0.797985,-0.999999,0.583228,7
1070,2,0.957119,-69.544899,3.952850,25.774021,-0.979288,-0.777797,-0.866666,0.749864,9
1093,2,3.674080,-70.450500,3.952850,34.365440,-0.918749,-0.787891,-0.866666,0.999821,12
1068,2,0.051905,-72.261703,3.952850,17.182795,-0.999457,-0.808079,-0.866666,0.499913,6
899,2,4.579950,-72.261703,1.927840,22.910456,-0.898564,-0.808079,-0.999999,0.666552,8
904,2,6.391040,-71.356102,3.952850,34.365551,-0.858210,-0.797985,-0.866666,0.999824,12
931,2,8.202120,-70.450500,1.927840,22.910336,-0.817855,-0.787891,-0.999999,0.666549,8
1090,2,5.485160,-69.544899,1.927840,22.910223,-0.878394,-0.777797,-0.999999,0.666545,8
933,2,9.107990,-72.261703,3.952850,34.365601,-0.797671,-0.808079,-0.866666,0.999826,12
930,2,10.919100,-71.356102,1.927840,22.910385,-0.757316,-0.797985,-0.999999,0.666550,8
936,2,10.013200,-69.544899,3.952850,34.365414,-0.777501,-0.777797,-0.866666,0.999820,12
965,2,12.730200,-70.450500,3.952850,34.365326,-0.716961,-0.787891,-0.866666,0.999818,12
771,2,13.636000,-72.261703,1.927840,22.910425,-0.696778,-0.808079,-0.999999,0.666551,8
776,2,15.447100,-71.356102,3.952850,34.365612,-0.656424,-0.797985,-0.866666,0.999826,12
803,2,17.258200,-70.450500,1.927840,22.910431,-0.616069,-0.787891,-0.999999,0.666551,8
962,2,14.541200,-69.544899,1.927840,22.910149,-0.676609,-0.777797,-0.999999,0.666543,8
805,2,18.164101,-72.261703,3.952850,34.365662,-0.595884,-0.808079,-0.866666,0.999827,12
802,2,19.975201,-71.356102,1.927840,22.910398,-0.555529,-0.797985,-0.999999,0.666550,8
808,2,19.069300,-69.544899,3.952850,34.365482,-0.575714,-0.777797,-0.866666,0.999822,12
836,2,21.786301,-70.450500,3.952850,34.365292,-0.515174,-0.787891,-0.866666,0.999817,12
1091,2,2.768200,-68.639297,1.927840,22.910227,-0.938933,-0.767704,-0.999999,0.666545,8
1266,2,3.673360,-65.922501,1.927840,22.910395,-0.918765,-0.737422,-0.999999,0.666550,8
1267,2,0.956376,-65.016899,1.927840,17.182796,-0.979304,-0.727328,-0.999999,0.499913,6
1269,2,1.862290,-66.828102,3.952850,31.501514,-0.959119,-0.747516,-0.866666,0.916499,11
1257,2,0.051225,-67.733704,1.927840,11.455105,-0.999473,-0.757610,-0.999999,0.333272,4
1096,2,4.579270,-67.733704,3.952850,34.365330,-0.898579,-0.757610,-0.866666,0.999818,12
1123,2,6.390340,-66.828102,1.927840,22.910320,-0.858225,-0.747516,-0.999999,0.666548,8
1125,2,7.296240,-68.639297,3.952850,34.365322,-0.838040,-0.767704,-0.866666,0.999818,12
1128,2,8.201400,-65.922501,3.952850,34.365623,-0.817871,-0.737422,-0.866666,0.999826,12
1301,2,5.484420,-65.016899,3.952850,34.365669,-0.878411,-0.727328,-0.866666,0.999828,12
1122,2,9.107310,-67.733704,1.927840,22.910263,-0.797686,-0.757610,-0.999999,0.666546,8
963,2,11.824300,-68.639297,1.927840,22.910194,-0.737146,-0.767704,-0.999999,0.666544,8
1154,2,12.729400,-65.922501,1.927840,22.910337,-0.716979,-0.737422,-0.999999,0.666549,8
1155,2,10.012500,-65.016899,1.927840,22.910412,-0.777517,-0.727328,-0.999999,0.666551,8
1157,2,10.918400,-66.828102,3.952850,34.365406,-0.757332,-0.747516,-0.866666,0.999820,12
968,2,13.635400,-67.733704,3.952850,34.365223,-0.696792,-0.757610,-0.866666,0.999815,12
995,2,15.446400,-66.828102,1.927840,22.910370,-0.656439,-0.747516,-0.999999,0.666550,8
997,2,16.352301,-68.639297,3.952850,34.365383,-0.636254,-0.767704,-0.866666,0.999819,12
1000,2,17.257500,-65.922501,3.952850,34.365555,-0.616084,-0.737422,-0.866666,0.999824,12
1189,2,14.540500,-65.016899,3.952850,34.365742,-0.676624,-0.727328,-0.866666,0.999830,12
994,2,18.163401,-67.733704,1.927840,22.910301,-0.595899,-0.757610,-0.999999,0.666548,8
834,2,20.880400,-68.639297,1.927840,22.910141,-0.535360,-0.767704,-0.999999,0.666543,8
1026,2,21.785500,-65.922501,1.927840,22.910400,-0.515192,-0.737422,-0.999999,0.666550,8
1027,2,19.068501,-65.016899,1.927840,22.910404,-0.575732,-0.727328,-0.999999,0.666551,8
1029,2,19.974501,-66.828102,3.952850,34.365387,-0.555545,-0.747516,-0.866666,0.999819,12
19,2,3.672540,-61.394402,3.952850,34.365345,-0.918783,-0.686951,-0.866666,0.999818,12
105,2,0.955544,-60.488800,3.952850,25.774036,-0.979323,-0.676857,-0.866666,0.749864,9
121,2,1.861490,-62.299999,1.927840,20.046385,-0.959136,-0.697045,-0.999999,0.583225,7
1272,2,2.767430,-64.111198,3.952850,34.365662,-0.938950,-0.717233,-0.866666,0.999827,12
113,2,0.050444,-63.205601,3.952850,17.182772,-0.999490,-0.707139,-0.866666,0.499912,6
